Participant ID	008
Staircase_name	Trial	Current Delay	Button	Response_code	Confidence
Training	1	350	before	0	50
Training	2	600	before	0	50
400_1	1	400.0	before	0	60
400_1	2	400.0	same time	-1	50
400_1	3	400.0	after	1	50
400_1	4	400.0	before	0	70
400_1	5	400.0	same time	-1	60
400_1	6	400.0	after	1	60
400_1	7	400.0	before	0	50
400_1	8	400.0	same time	-1	40
400_1	9	400.0	before	0	40
400_1	10	450.0	same time	-1	40
400_1	11	450.0	before	0	50
400_1	12	450.0	same time	-1	70
400_1	13	450.0	same time	-1	70
400_1	14	450.0	after	1	40
400_1	15	450.0	same time	-1	50
100_1	1	100.0	after	1	50
100_1	2	100.0	same time	-1	70
100_1	3	100.0	before	0	60
100_1	4	100.0	same time	-1	60
100_1	5	100.0	after	1	50
100_1	6	100.0	after	1	70
100_1	7	50.0	before	0	75
100_1	8	50.0	same time	-1	70
100_1	9	50.0	before	0	70
100_1	10	100.0	same time	-1	60
100_1	11	100.0	before	0	50
100_1	12	100.0	same time	-1	60
100_1	13	100.0	same time	-1	70
100_1	14	100.0	after	1	50
100_1	15	100.0	after	1	60
400_2	1	400.0	before	0	50
400_2	2	400.0	same time	-1	60
400_2	3	400.0	same time	-1	60
400_2	4	400.0	before	0	70
400_2	5	450.0	before	0	70
400_2	6	450.0	same time	-1	50
400_2	7	450.0	after	1	80
400_2	8	450.0	before	0	75
400_2	9	450.0	before	0	60
400_2	10	500.0	same time	-1	70
400_2	11	500.0	same time	-1	50
400_2	12	500.0	same time	-1	60
400_2	13	500.0	before	0	60
400_2	14	500.0	same time	-1	50
400_2	15	500.0	after	1	60
100_2	1	100.0	after	1	70
100_2	2	100.0	before	0	60
100_2	3	100.0	after	1	50
100_2	4	100.0	same time	-1	60
100_2	5	100.0	same time	-1	65
100_2	6	100.0	same time	-1	75
100_2	7	100.0	same time	-1	50
100_2	8	100.0	before	0	60
100_2	9	100.0	same time	-1	50
100_2	10	100.0	same time	-1	60
100_2	11	100.0	same time	-1	70
100_2	12	100.0	same time	-1	80
100_2	13	100.0	after	1	65
100_2	14	100.0	same time	-1	60
100_2	15	100.0	before	0	60
Post_task_question	TaskGeneral	52	NA	NA	NA
Post_task_question	Difficulty	82	NA	NA	NA
Post_task_question	Breathless	1	NA	NA	NA
