Participant ID	114
Staircase_name	Trial	Current Delay	Button	Response_code	Confidence
Training	1	450	same time	-1	50
Training	2	600	same time	-1	50
400_1	1	400.0	before	0	60
400_1	2	400.0	same time	-1	60
400_1	3	400.0	same time	-1	75
400_1	4	400.0	same time	-1	55
400_1	5	400.0	before	0	60
400_1	6	450.0	after	1	40
400_1	7	450.0	same time	-1	60
400_1	8	450.0	before	0	70
400_1	9	450.0	same time	-1	60
400_1	10	450.0	before	0	40
400_1	11	500.0	after	1	30
400_1	12	500.0	same time	-1	55
400_1	13	500.0	same time	-1	30
400_1	14	500.0	before	0	60
400_1	15	500.0	same time	-1	60
100_1	1	100.0	after	1	50
100_1	2	100.0	same time	-1	50
100_1	3	100.0	before	0	70
100_1	4	100.0	same time	-1	70
100_1	5	100.0	same time	-1	50
100_1	6	100.0	before	0	45
100_1	7	150.0	same time	-1	60
100_1	8	150.0	after	1	70
100_1	9	150.0	same time	-1	60
100_1	10	150.0	same time	-1	60
100_1	11	150.0	before	0	50
100_1	12	150.0	same time	-1	55
100_1	13	150.0	same time	-1	65
100_1	14	150.0	after	1	70
100_1	15	150.0	before	0	60
400_2	1	400.0	same time	-1	60
400_2	2	400.0	before	0	80
400_2	3	400.0	before	0	45
400_2	4	450.0	same time	-1	50
400_2	5	450.0	same time	-1	60
400_2	6	450.0	before	0	60
400_2	7	450.0	after	1	20
400_2	8	450.0	same time	-1	70
400_2	9	450.0	same time	-1	40
400_2	10	450.0	before	0	40
400_2	11	450.0	same time	-1	50
400_2	12	450.0	before	0	55
400_2	13	500.0	same time	-1	70
400_2	14	500.0	after	1	60
400_2	15	500.0	same time	-1	50
100_2	1	100.0	before	0	60
100_2	2	100.0	before	0	10
100_2	3	150.0	same time	-1	65
100_2	4	150.0	before	0	65
100_2	5	150.0	before	0	65
100_2	6	200.0	after	1	40
100_2	7	200.0	same time	-1	50
100_2	8	200.0	same time	-1	50
100_2	9	200.0	same time	-1	45
100_2	10	200.0	same time	-1	70
100_2	11	200.0	same time	-1	60
100_2	12	200.0	same time	-1	60
100_2	13	200.0	before	0	53
100_2	14	200.0	same time	-1	60
100_2	15	200.0	before	0	45
Post_task_question	TaskGeneral	19	NA	NA	NA
Post_task_question	Difficulty	35	NA	NA	NA
Post_task_question	Breathless	20	NA	NA	NA
