Participant ID	086
Staircase_name	Trial	Current Delay	Button	Response_code	Confidence
Training	1	600	after	1	75
Training	2	600	after	1	75
400_1	1	400.0	after	1	75
400_1	2	400.0	same time	-1	70
400_1	3	400.0	same time	-1	70
400_1	4	400.0	after	1	75
400_1	5	350.0	before	0	70
400_1	6	350.0	same time	-1	75
400_1	7	350.0	after	1	80
400_1	8	350.0	before	0	80
400_1	9	350.0	after	1	80
400_1	10	350.0	before	0	65
400_1	11	350.0	before	0	80
400_1	12	400.0	after	1	70
400_1	13	400.0	same time	-1	70
400_1	14	400.0	after	1	75
400_1	15	350.0	before	0	60
100_1	1	100.0	same time	-1	80
100_1	2	100.0	before	0	60
100_1	3	100.0	after	1	60
100_1	4	100.0	before	0	80
100_1	5	100.0	before	0	80
100_1	6	150.0	same time	-1	70
100_1	7	150.0	before	0	80
100_1	8	150.0	same time	-1	80
100_1	9	150.0	after	1	56
100_1	10	150.0	same time	-1	85
100_1	11	150.0	same time	-1	80
100_1	12	150.0	before	0	60
100_1	13	150.0	same time	-1	80
100_1	14	150.0	same time	-1	80
100_1	15	150.0	before	0	70
400_2	1	400.0	same time	-1	60
400_2	2	400.0	after	1	60
400_2	3	400.0	same time	-1	70
400_2	4	400.0	before	0	65
400_2	5	400.0	same time	-1	75
400_2	6	400.0	before	0	45
400_2	7	450.0	same time	-1	65
400_2	8	450.0	after	1	70
400_2	9	450.0	after	1	80
400_2	10	400.0	same time	-1	90
400_2	11	400.0	after	1	80
400_2	12	400.0	same time	-1	70
400_2	13	400.0	same time	-1	60
400_2	14	400.0	before	0	50
400_2	15	400.0	same time	-1	80
100_2	1	100.0	before	0	50
100_2	2	100.0	same time	-1	65
100_2	3	100.0	after	1	80
100_2	4	100.0	after	1	70
100_2	5	50.0	same time	-1	70
100_2	6	50.0	before	0	70
100_2	7	50.0	same time	-1	65
100_2	8	50.0	before	0	90
100_2	9	100.0	before	0	90
100_2	10	100.0	same time	-1	70
100_2	11	100.0	same time	-1	65
100_2	12	100.0	after	1	70
100_2	13	100.0	same time	-1	64
100_2	14	100.0	same time	-1	90
100_2	15	100.0	before	0	90
Post_task_question	TaskGeneral	50	NA	NA	NA
Post_task_question	Difficulty	57	NA	NA	NA
Post_task_question	Breathless	4	NA	NA	NA
