Participant ID	126
Staircase_name	Trial	Current Delay	Button	Response_code	Confidence
Training	1	300	before	0	50
Training	2	300	before	0	30
400_1	1	400.0	same time	-1	50
400_1	2	400.0	same time	-1	30
400_1	3	400.0	same time	-1	50
400_1	4	400.0	before	0	50
400_1	5	400.0	same time	-1	50
400_1	6	400.0	same time	-1	30
400_1	7	400.0	after	1	40
400_1	8	400.0	same time	-1	20
400_1	9	400.0	before	0	50
400_1	10	400.0	same time	-1	40
400_1	11	400.0	same time	-1	20
400_1	12	400.0	same time	-1	20
400_1	13	400.0	after	1	20
400_1	14	400.0	after	1	30
400_1	15	350.0	same time	-1	40
100_1	1	100.0	same time	-1	40
100_1	2	100.0	after	1	50
100_1	3	100.0	same time	-1	50
100_1	4	100.0	same time	-1	30
100_1	5	100.0	after	1	50
100_1	6	50.0	same time	-1	50
100_1	7	50.0	before	0	40
100_1	8	50.0	after	1	50
100_1	9	50.0	same time	-1	50
100_1	10	50.0	after	1	50
100_1	11	0.0	before	0	40
100_1	12	0.0	same time	-1	60
100_1	13	0.0	same time	-1	50
100_1	14	0.0	before	0	45
100_1	15	50.0	before	0	30
400_2	1	400.0	same time	-1	40
400_2	2	400.0	after	1	50
400_2	3	400.0	after	1	20
400_2	4	350.0	before	0	20
400_2	5	350.0	same time	-1	20
400_2	6	350.0	after	1	30
400_2	7	350.0	before	0	40
400_2	8	350.0	before	0	40
400_2	9	400.0	same time	-1	60
400_2	10	400.0	before	0	50
400_2	11	400.0	after	1	30
400_2	12	400.0	before	0	10
400_2	13	400.0	after	1	50
400_2	14	400.0	before	0	30
400_2	15	400.0	same time	-1	30
100_2	1	100.0	after	1	60
100_2	2	100.0	same time	-1	60
100_2	3	100.0	same time	-1	50
100_2	4	100.0	same time	-1	50
100_2	5	100.0	after	1	60
100_2	6	50.0	after	1	40
100_2	7	50.0	after	1	50
100_2	8	0.0	after	1	50
100_2	9	0.0	same time	-1	50
100_2	10	0.0	after	1	50
100_2	11	0.0	after	1	60
100_2	12	0.0	before	0	40
100_2	13	0.0	after	1	40
100_2	14	0.0	before	0	50
100_2	15	0.0	before	0	20
Post_task_question	TaskGeneral	51	NA	NA	NA
Post_task_question	Difficulty	80	NA	NA	NA
Post_task_question	Breathless	1	NA	NA	NA
